Platform,Profiler,Benchmark Suite,Suite,Workload,benchmark_name,execution_time (microseconds),exp_name,peak_memory_kb (KB),read_freq (accesses/us),read_size,total_reads (count),total_reads_d,total_reads_i,total_writes (count),total_writes_d,total_writes_i,workingset_size (count),write_freq (accesses/us),write_size
CPU,DynamoRIO,spec2017,intrate,baseline/perlbench_r/O1,,1646997949.0,DynamoRIOProfilers,,1.995840499373931,8,3287145209.0,1,1,1732535570.0,1,1,1185451.0,1.0519354751181904,8
CPU,DynamoRIO,spec2017,intrate,baseline/x264_r/O1,,759476582.0,DynamoRIOProfilers,,2.743676345507122,1,2083757933.0,1,1,587069038.0,1,1,2199784.0,0.772991625961681,1
CPU,DynamoRIO,spec2017,intrate,baseline/xalancbmk_r/O1,,1273306630.0,DynamoRIOProfilers,,2.3754470201729805,8,3024672440.0,1,1,952751397.0,1,1,1102352.0,0.7482497731123885,8
CPU,DynamoRIO,spec2017,intrate,baseline/xz_r/O1,,812607916.0,DynamoRIOProfilers,,2.2106335720214667,4,1796378340.0,1,1,962823007.0,1,1,2667931.0,1.1848555595414603,4
CPU,DynamoRIO,spec2017,intrate,baseline/xz_r/O1,,817284671.0,DynamoRIOProfilers,,2.4155217686690222,8,1974168914.0,1,1,835700911.0,1,1,8584962.0,1.022533445999258,8
CPU,DynamoRIO,spec2017,intrate,baseline/xz_r/O1,,841815555.0,DynamoRIOProfilers,,2.433289374178884,8,2048380845.0,1,1,784492793.0,1,1,8482900.0,0.9319057937816319,8
CPU,DynamoRIO,spec2017,intspeed,baseline/deepsjeng_s/O1,,633932152.0,DynamoRIOProfilers,,0.0011556567965336454,8,732608.0,1,1,1666348033.0,1,1,26045433.0,2.628590500959478,1
CPU,DynamoRIO,spec2017,intspeed,baseline/exchange2_s/O1,,1613489037.0,DynamoRIOProfilers,,2.473599379652928,4,3991125481.0,1,1,2307939815.0,1,1,74131.0,1.4304031586673867,4
CPU,DynamoRIO,spec2017,intspeed,baseline/leela_s/O1,,1045371518.0,DynamoRIOProfilers,,2.423497669849467,4,2533455438.0,1,1,1128808196.0,1,1,148774.0,1.0798153350874058,8
CPU,DynamoRIO,spec2017,intspeed,baseline/mcf_s/O1,,1542225911.0,DynamoRIOProfilers,,2.398821317041145,8,3699524391.0,1,1,969758769.0,1,1,441022.0,0.6288046142158222,8
CPU,DynamoRIO,spec2017,intspeed,baseline/perlbench_s/O1,,1565347714.0,DynamoRIOProfilers,,1.9254747102150878,8,3014037436.0,1,1,1592269733.0,1,1,1258935.0,1.0171987468082762,8
CPU,DynamoRIO,spec2017,intspeed,baseline/perlbench_s/O1,,1524398076.0,DynamoRIOProfilers,,1.9607330742918099,8,2988937726.0,1,1,1753653901.0,1,1,2626390.0,1.150391048512449,8
CPU,DynamoRIO,spec2017,intspeed,baseline/perlbench_s/O1,,1588134476.0,DynamoRIOProfilers,,2.070122300524883,8,3287632595.0,1,1,1732557229.0,1,1,1176385.0,1.0909386170897533,8
CPU,DynamoRIO,spec2017,intspeed,baseline/x264_s/O1,,754523367.0,DynamoRIOProfilers,,2.761687756981024,1,2083757945.0,1,1,587069059.0,1,1,2199847.0,0.7780661072621228,1
CPU,DynamoRIO,spec2017,intspeed,baseline/xalancbmk_s/O1,,1268445858.0,DynamoRIOProfilers,,2.3845499584579035,8,3024672518.0,1,1,952751510.0,1,1,1102392.0,0.7511172069277237,8
CPU,Perf/AMD,spec2017,fprate,fprate/baseline/cactuBSSN_r,Benchmark1,,PerfProfilers,,166257834776.57266,64,766448618320.0,766430221877,18396443,152687834942.0,152687834942,0,-1.0,33121005410.412144,64
CPU,Perf/AMD,spec2017,fprate,fprate/baseline/fotonik3d_r,Benchmark1,,PerfProfilers,,1751833678530.5754,64,974019525263.0,974011733982,7791281,167647432506.0,167647432506,0,-1.0,301524159183.4532,64
CPU,Perf/AMD,spec2017,fprate,fprate/baseline/imagick_r,Benchmark1,,PerfProfilers,,3401848830695.7827,64,1129413811791.0,1129412581721,1230070,310282855645.0,310282855645,0,-1.0,934586914593.3734,64
CPU,Perf/AMD,spec2017,fprate,fprate/baseline/lbm_r,Benchmark1,,PerfProfilers,,145141924540.5488,64,476065512493.0,476028647977,36864516,198870939374.0,198870939374,0,-1.0,60631383955.48781,64
