source,workload_id,workload,compiler_tag,iteration,opt_level_numeric,has_fastmath,has_vectorize,has_unroll,has_debug_friendly,has_lto,input_class,input_command,input_args,input_files,input_total_bytes,l1_size,l2_size,l3_size,l3_associativity,l3_replacement,branch_predictor,prefetcher_type,dram_type,core_frequency_ghz,simulator_rev,core_model,n_pb_files,pb_total_bytes,n_events,total_reads,total_writes,total_hits,total_misses,n_threads,cell_start_us,cell_end_us,execution_time_us,execution_time_s,read_freq,write_freq,hit_rate,wss_lines_total,wss_bytes_total,coarse_bin_us,n_coarse_bins,n_unique_regions_total,elapsed_parse_s
cpu2026,748.flightdm_r,flightdm,maapLTO,1,3,0,1,1,0,1,refrate,,,control,318,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,64279439043,2178269469,1487278064,690991405,0,2178269469,0,13423389046732773,13423391629450617,2582717844,2582.717844,575857.7412763638,267544.2873503452,0.0,65148,4169472,2582717,1001,34,386.0
cpu2026,749.fotonik3d_r,fotonik3d,maapLTO,1,3,0,1,1,0,1,refrate,,,OBJ-epsilon.asc|OBJ-values.dat|OBJ-values.dat.xz|PSI.dat|TEwaveguide.m|incident_W3PC.def|power1.dat|power2.dat|trans_W3PC.def|yee.dat,20685910,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,62483175570,2053505934,1479944895,573561039,0,2053505934,0,13423391993690071,13423394570846319,2577156248,2577.156248,574255.0131170782,222555.78777775372,0.0,28088487,1797663168,2577156,1001,1935,375.0
cpu2026,765.roms_r,roms,maapLTO,1,3,0,1,1,0,1,refrate,,,roms_benchmark2.in.x|varinfo.yaml,459072,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,43386602665,1447563149,994535100,453028049,0,1447563149,0,13423394943467085,13423396752818115,1809351030,1809.35103,549663.9864294326,250381.51330977495,0.0,18828222,1205006208,1809351,1001,1298,260.0
cpu2026,766.femflow_r,femflow,maapLTO,1,3,0,1,1,0,1,refrate,,,refrate.prm,473,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,75272815046,2497229281,1369138030,1128091251,0,2497229281,0,13423397126220286,13423400154304239,3028083953,3028.083953,452146.6548652193,372542.92434077704,0.0,612038,39170432,3028083,1001,99,452.0
cpu2026,767.nest_r,nest,maapLTO,1,3,0,1,1,0,1,refrate,,,ArtificialSynchrony.sli|FormattedIO|FormattedIO.sli|arraylib|arraylib.sli|control|cuba_stdp.sli|debug|debug.sli|helpinit,1051499,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,60582015916,2051151633,1294067249,757084384,0,2051151633,0,13423400520449545,13423403070275912,2549826367,2549.826367,507511.90973153815,296916.05428441317,0.0,6890845,441014080,2549826,1001,451,363.0
cpu2026,772.marian_r,marian,maapLTO,1,3,0,1,1,0,1,refrate,,,EuroPat-spec.en|TildeMODEL-spec.en|control|model.alphas.npz|vocab.spm,89277765,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,46852678864,1517477013,815215301,702261712,0,1517477013,0,13423403436923748,13423405320373264,1883449516,1883.449516,432830.9806420105,372859.32329709444,0.0,10792702,690732928,1883449,1001,702,281.0
cpu2026,782.lbm_r,lbm,maapLTO,1,3,0,1,1,0,1,refrate,,,200_200_130_ldc.of|lbm.in,5226171,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,71574020395,2344870282,1480116100,864754182,0,2344870282,0,13423405790947055,13423408739949685,2949002630,2949.00263,501903.96066211717,293236.1515052294,0.0,26498568,1695908352,2949002,1001,1647,430.0
cpu2026,999.specrand_r,specrand,maapLTO,1,3,0,1,1,0,1,refrate,,,control,18,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,4846383028,159066770,94834770,64232000,0,159066770,0,13423409108010914,13423409294672316,186661402,186.661402,508057.73975703877,344109.7051226477,0.0,24147,1545408,186661,1001,17,29.0
cpu2026,709.cactus_r,cactus,maapO1,1,1,0,0,0,0,0,refrate,,,ShiftedGaugeWave.par|control,4046,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,55920217540,1856263035,1514930442,341332593,0,1856263035,0,13423376480113911,13423378737790859,2257676948,2257.676948,671012.938029963,151187.52632097126,0.0,2747422,175835008,2257676,1001,401,335.0
cpu2026,722.palm_r,palm,maapO1,1,1,0,0,0,0,0,refrate,,,DEBUG|ENVPAR|PARIN|runfile_atmos,3227,48,512,16384,16,lru,pentium_m,,constant,2.2,090ac23cf7ee,sunnycove,1,42592265502,1468859231,1321791071,147068160,0,1468859231,0,13423379102839373,13423380911121308,1808281935,1808.281935,730965.1473126065,81330.32640178424,0.0,1754810,112307840,1808281,1001,171,255.0
