PatternConfig Name,Benchmark,Profiler,MemCellType,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Execution Time (us),Read Latency (ns),Write Latency (ns),Read Energy (nJ),Write Energy (nJ),Leakage Power (mW),Total Area (mm^2),Total Read Latency (ms),Total Write Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Energy (mJ),Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power (mW),Read Bandwidth Usage (%),Write Bandwidth Usage (%)
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteLatency,4093700389,915723604,2630696656.0,0.5319844447199253,0.4002848094531753,54.986507194290816,54.34092242634163,34.32179095756718,1.2830822055034372,2177.784928291908,366.55024833891497,2544.3351766308224,225.0982858910196,49.76126532893398,274.8595512199536,0.0855660364252272,0.0189156226794298,34.42627261667184,0.0072028836729239,0.0091467875743296
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,64KB,128,WriteLatency,4232275462,874421761,2684602297.0,0.5319844447199253,0.4002848094531753,54.986507194290816,54.34092242634163,34.32179095756718,1.2830822055034372,2251.5047115538355,350.017747983595,2601.52245953743,232.71804513948348,47.516885082406034,280.2349302218895,0.0866862273788345,0.0176997856015788,34.426176970547594,0.0072971804928701,0.008558860670491
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,128KB,128,ReadDynamicEnergy,4093692156,915737511,2628002060.0,3.182731521353704,3.180884371198,8.881897019935337,5.3192020090515415,1.21721555386958,0.1884811160899623,13029.123063619603,2912.855136859657,15941.97820047926,36.35975216090907,4.870992808275059,41.23074496918413,0.0138355112860562,0.0018534965715647,1.232904561727201,0.1322688114766768,0.0943298258381704
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,128KB,128,ReadDynamicEnergy,4105529530,909711014,2568419942.0,3.182731521353704,3.180884371198,8.881897019935337,5.3192020090515415,1.21721555386958,0.1884811160899623,13066.798246979455,2893.6855467392847,15960.483793718742,36.46489049776353,4.838936653325115,41.30382715108864,0.0141974020297353,0.0018840130362627,1.2332969689355782,0.1357285216067308,0.0958828973918592
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,128KB,128,ReadDynamicEnergy,4093700389,915723604,2630696656.0,3.182731521353704,3.180884371198,8.881897019935337,5.3192020090515415,1.21721555386958,0.1884811160899623,13029.149267048218,2912.810900300706,15941.960167348923,36.35982528556723,4.870918834132719,41.23074411969995,0.0138213675083514,0.0018515699341553,1.232888491312087,0.1321335956087465,0.0942317736625877
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,128KB,128,ReadDynamicEnergy,4232275462,874421761,2684602297.0,3.182731521353704,3.180884371198,8.881897019935337,5.3192020090515415,1.21721555386958,0.1884811160899623,13470.19651995921,2781.434513400333,16251.631033359545,37.59063481348325,4.651225987869586,42.24186080135284,0.0140023104559994,0.0017325568085325,1.2329504211341122,0.1338634274982704,0.0881748499084871
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,128KB,128,ReadEDP,4093692156,915737511,2628002060.0,0.8545609923357754,0.830878748598166,21.905694996924392,21.58550633987536,1.2412425666849114,0.2329896749573948,3498.30963114854,760.8668371840793,4259.176468332619,89.67517178063783,19.76665784935218,109.44182962999,0.0341229457714496,0.007521553407516,1.2828870658638771,0.0651219654899264,0.017271478589184
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,128KB,128,ReadEDP,4105529530,909711014,2568419942.0,0.8545609923357754,0.830878748598166,21.905694996924392,21.58550633987536,1.2412425666849114,0.2329896749573948,3508.4253892206293,755.8595488982887,4264.284938118918,89.93447768504636,19.63657286015144,109.5710505451978,0.0350154880105063,0.0076453902802439,1.2839034449756617,0.0668253385011389,0.0175558408452219
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,128KB,128,ReadEDP,4093700389,915723604,2630696656.0,0.8545609923357754,0.830878748598166,21.905694996924392,21.58550633987536,1.2412425666849114,0.2329896749573948,3498.3166667491896,760.8552821533225,4259.171948902512,89.67535213022475,19.76635765971551,109.44170978994026,0.0340880625387561,0.0075137350460506,1.2828443642697185,0.0650553925542,0.017253525560689
drio_spec2017,spec2017_fprate_baseline/bwaves/O2,dynamorio,SRAM,RAM,128KB,128,ReadEDP,4232275462,874421761,2684602297.0,0.8545609923357754,0.830878748598166,21.905694996924392,21.58550633987536,1.2412425666849114,0.2329896749573948,3616.737518645072,726.5384585266846,4343.2759771717565,92.71093541353927,18.87483646579048,111.58577187932976,0.0345343276794265,0.0070307756522754,1.282807670016613,0.0659070676494496,0.0161445228883557
